	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Klf6	4.32E-33	0.4963865	0.991	0.715	8.65E-30	0	Klf6
Lgmn	4.35E-33	0.471923926	1	0.972	8.70E-30	0	Lgmn
Mcl1	4.83E-33	0.513869322	0.943	0.68	9.65E-30	0	Mcl1
P2ry12	7.84E-33	0.572957012	0.961	0.664	1.57E-29	0	P2ry12
Lag3	1.01E-32	0.585495986	0.969	0.709	2.02E-29	0	Lag3
Cst3	1.03E-32	0.517870037	1	0.951	2.07E-29	0	Cst3
Klf2	1.36E-32	0.671774038	0.969	0.76	2.72E-29	0	Klf2
Nfkbiz	1.65E-32	0.562813362	0.939	0.711	3.31E-29	0	Nfkbiz
Rel	1.76E-32	0.445590538	0.965	0.7	3.51E-29	0	Rel
Skil	2.01E-32	0.531401676	0.917	0.655	4.02E-29	0	Skil
Tmem119	4.23E-32	0.496062759	0.948	0.591	8.46E-29	0	Tmem119
Nfe2l2	6.35E-32	0.540534429	0.969	0.721	1.27E-28	0	Nfe2l2
Jund	9.03E-32	0.583502694	0.969	0.745	1.81E-28	0	Jund
Basp1	1.30E-31	0.444137661	0.978	0.804	2.60E-28	0	Basp1
Olfml3	1.98E-31	0.546161771	0.983	0.769	3.96E-28	0	Olfml3
Pcf11	1.78E-30	0.405797862	0.734	0.404	3.56E-27	0	Pcf11
C1qb	5.16E-30	0.447763651	1	0.877	1.03E-26	0	C1qb
Sparc	8.75E-30	0.536278778	1	0.85	1.75E-26	0	Sparc
Tnfrsf12a	2.88E-29	0.431753277	0.716	0.406	5.75E-26	0	Tnfrsf12a
Ptafr	6.28E-29	0.284609056	0.699	0.38	1.26E-25	0	Ptafr
Ccl3	7.14E-29	0.471625238	0.978	0.751	1.43E-25	0	Ccl3
Marcksl1	1.38E-28	0.625039476	0.943	0.716	2.76E-25	0	Marcksl1
Junb	5.76E-28	0.554984233	1	0.864	1.15E-24	0	Junb
Lpin2	5.84E-28	0.45832038	0.83	0.554	1.17E-24	0	Lpin2
St3gal6	6.00E-28	0.417262098	0.86	0.551	1.20E-24	0	St3gal6
Tgif1	6.56E-28	0.446694382	0.978	0.742	1.31E-24	0	Tgif1
Ldhb	7.90E-28	0.45888925	0.965	0.698	1.58E-24	0	Ldhb
Plxdc2	2.88E-27	0.402488603	0.834	0.526	5.76E-24	0	Plxdc2
Dusp1	3.35E-27	0.293144378	0.978	0.788	6.70E-24	0	Dusp1
Cd14	3.83E-27	0.456384889	0.969	0.814	7.65E-24	0	Cd14
Irf2bpl	6.29E-27	0.313575024	0.738	0.426	1.26E-23	0	Irf2bpl
C1qc	8.49E-27	0.440837625	1	0.932	1.70E-23	0	C1qc
Tsc22d3	1.08E-26	0.459846644	0.908	0.662	2.15E-23	0	Tsc22d3
Ppp1r10	1.62E-26	0.406731547	0.838	0.547	3.23E-23	0	Ppp1r10
C1qa	2.30E-26	0.449028504	1	0.924	4.60E-23	0	C1qa
Zfand5	2.55E-26	0.463526196	0.939	0.698	5.10E-23	0	Zfand5
F11r	2.66E-26	0.420058981	0.952	0.744	5.32E-23	0	F11r
Nav3	3.70E-26	0.402607301	0.812	0.569	7.39E-23	0	Nav3
Casp4	4.20E-26	0.446457871	0.812	0.604	8.39E-23	0	Casp4
Tuba1c	4.30E-26	0.425413487	0.917	0.631	8.60E-23	0	Tuba1c
Cd81	5.33E-26	0.436563298	1	0.909	1.07E-22	0	Cd81
Jmjd1c	9.32E-26	0.441705326	0.808	0.53	1.86E-22	0	Jmjd1c
H2-Q4	1.20E-25	0.397830313	0.856	0.557	2.41E-22	0	H2-Q4
Ubc	1.30E-25	0.404406371	0.991	0.824	2.59E-22	0	Ubc
Hpgds	1.64E-25	0.411114292	0.956	0.675	3.27E-22	0	Hpgds
Nab2	2.09E-25	0.370513445	0.712	0.454	4.19E-22	0	Nab2
Sertad1	3.04E-25	0.314848081	0.926	0.704	6.07E-22	0	Sertad1
Fcgr3	7.21E-25	0.422898927	1	0.898	1.44E-21	0	Fcgr3
Apoe	7.63E-25	0.431029163	1	0.895	1.53E-21	0	Apoe
Cebpb	1.78E-24	0.351678628	0.987	0.8	3.56E-21	0	Cebpb
Itm2b	1.80E-24	0.373514241	1	0.978	3.59E-21	0	Itm2b
Tgfbr1	4.28E-24	0.434917091	0.913	0.711	8.56E-21	0	Tgfbr1
Fosb	7.11E-24	0.364463163	0.795	0.545	1.42E-20	0	Fosb
Cx3cr1	1.10E-23	0.355241326	0.991	0.671	2.20E-20	0	Cx3cr1
Mob3c	9.59E-23	0.374173738	0.751	0.505	1.92E-19	0	Mob3c
Itgam	1.95E-22	0.349999499	0.865	0.659	3.89E-19	0	Itgam
Id2	1.99E-22	0.347530829	0.886	0.636	3.97E-19	0	Id2
Csf1r	2.20E-22	0.38282785	0.965	0.814	4.40E-19	0	Csf1r
Slfn2	3.70E-22	0.384801547	0.917	0.715	7.41E-19	0	Slfn2
Pim1	5.03E-22	0.261207301	0.9	0.64	1.01E-18	0	Pim1
Plek	2.13E-21	0.370698948	0.974	0.796	4.27E-18	0	Plek
Atp6v1b2	3.12E-21	0.324594467	0.869	0.629	6.23E-18	0	Atp6v1b2
Grn	4.91E-21	0.354890577	1	0.908	9.81E-18	0	Grn
Btg2	9.31E-21	0.357285163	0.974	0.729	1.86E-17	0	Btg2
Ptgs1	1.02E-20	0.305688231	0.952	0.61	2.04E-17	0	Ptgs1
Ltc4s	2.45E-20	0.37585861	0.934	0.67	4.89E-17	0	Ltc4s
Arf2	2.48E-20	0.397608929	0.747	0.524	4.95E-17	0	Arf2
Fcrls	2.57E-20	0.383373995	0.996	0.922	5.14E-17	0	Fcrls
Selenop	3.92E-20	0.377537812	0.991	0.915	7.84E-17	0	Selenop
Fcgr2b	7.77E-20	0.308589254	0.978	0.725	1.55E-16	0	Fcgr2b
Atf3	1.00E-19	0.388204314	0.978	0.723	2.00E-16	0	Atf3
Hfe	1.22E-19	0.296650192	0.825	0.636	2.45E-16	0	Hfe
Dennd4a	2.57E-19	0.256763528	0.852	0.581	5.13E-16	0	Dennd4a
Gng10	4.21E-19	0.305987044	0.983	0.819	8.41E-16	0	Gng10
Creb5	7.76E-19	0.268021781	0.594	0.372	1.55E-15	0	Creb5
Tlr2	9.73E-19	0.349130905	0.742	0.559	1.95E-15	0	Tlr2
Plekho1	1.02E-18	0.368431584	0.865	0.681	2.04E-15	0	Plekho1
Tbc1d10a	1.24E-18	0.259552999	0.751	0.464	2.48E-15	0	Tbc1d10a
Slc3a2	8.27E-18	0.317808423	0.983	0.841	1.65E-14	0	Slc3a2
Mylip	1.61E-17	0.378344678	0.895	0.671	3.23E-14	0	Mylip
Clic4	2.67E-17	0.301937239	0.882	0.672	5.34E-14	0	Clic4
Ly86	3.15E-17	0.343005719	1	0.92	6.30E-14	0	Ly86
Itgb5	1.05E-16	0.297997195	0.769	0.54	2.11E-13	0	Itgb5
Kctd12	1.21E-16	0.276270384	0.882	0.552	2.42E-13	0	Kctd12
Tbpl1	1.31E-16	0.349558074	0.747	0.534	2.62E-13	0	Tbpl1
Itgav	1.42E-16	0.285922442	0.729	0.514	2.85E-13	0	Itgav
Nfic	1.88E-16	0.268900108	0.803	0.591	3.76E-13	0	Nfic
Prkch	2.75E-16	0.33719717	0.572	0.368	5.49E-13	0	Prkch
H2-DMb1	4.78E-16	0.265393288	0.773	0.524	9.56E-13	0	H2-DMb1
Crybb1	5.06E-16	0.337939252	0.751	0.572	1.01E-12	0	Crybb1
Agmo	8.69E-16	0.272834046	0.629	0.453	1.74E-12	0	Agmo
Hpgd	1.78E-15	0.330167573	0.808	0.638	3.56E-12	0	Hpgd
Plau	2.40E-15	0.528961947	0.576	0.35	4.81E-12	0	Plau
Tmem176b	3.01E-15	0.2872073	1	0.847	6.01E-12	0	Tmem176b
Dusp2	3.58E-15	0.262789952	0.904	0.651	7.15E-12	0	Dusp2
Piezo1	4.84E-15	0.299475965	0.629	0.422	9.68E-12	0	Piezo1
Abca9	5.90E-15	0.286199438	0.659	0.474	1.18E-11	0	Abca9
Col27a1	6.47E-15	0.253421167	0.546	0.303	1.29E-11	0	Col27a1
Gem	7.61E-15	0.280421628	0.764	0.543	1.52E-11	0	Gem
Rilpl2	1.76E-14	0.270626364	0.865	0.66	3.51E-11	0	Rilpl2
Sat1	2.48E-14	0.272364932	0.978	0.922	4.95E-11	0	Sat1
Trem2	4.16E-14	0.301555333	1	0.875	8.31E-11	0	Trem2
Bcl3	6.11E-14	0.254029356	0.755	0.561	1.22E-10	0	Bcl3
Glul	7.43E-14	0.257749478	0.917	0.742	1.49E-10	0	Glul
Birc3	2.67E-13	0.256729775	0.651	0.444	5.33E-10	0	Birc3
Itga5	1.31E-12	0.325042072	0.629	0.535	2.62E-09	0	Itga5
Tmem176a	4.79E-12	0.251344016	0.974	0.858	9.58E-09	0	Tmem176a
Mertk	1.56E-11	0.275317914	0.69	0.534	3.11E-08	0	Mertk
Rcan1	2.00E-10	0.366498386	0.572	0.373	4.01E-07	0	Rcan1
Rbm47	0.006832665	0.270051447	0.559	0.563	1	0	Rbm47
Egr1	4.43E-55	0.845648705	0.982	0.625	8.86E-52	1	Egr1
P2ry121	4.78E-55	0.829442719	0.991	0.662	9.56E-52	1	P2ry12
Tmem1191	2.89E-54	0.783530751	0.982	0.589	5.77E-51	1	Tmem119
Selplg1	1.20E-51	0.755251157	1	0.698	2.39E-48	1	Selplg
Sparc1	2.64E-51	0.72597014	1	0.851	5.28E-48	1	Sparc
Cx3cr11	7.79E-51	0.772097592	0.995	0.673	1.56E-47	1	Cx3cr1
Cst31	1.45E-49	0.656113568	1	0.951	2.90E-46	1	Cst3
C1qa1	1.34E-48	0.589124509	1	0.925	2.68E-45	1	C1qa
Tnfaip3	3.82E-43	0.733072478	0.917	0.525	7.63E-40	1	Tnfaip3
C1qc1	4.89E-43	0.537084633	1	0.933	9.79E-40	1	C1qc
Olfml31	7.37E-43	0.692066506	0.995	0.769	1.47E-39	1	Olfml3
Ccrl2	1.37E-42	0.650600471	0.954	0.62	2.74E-39	1	Ccrl2
Selenop1	1.46E-42	0.648089653	1	0.914	2.93E-39	1	Selenop
Siglech1	3.03E-41	0.637924517	0.963	0.76	6.06E-38	1	Siglech
Hexb1	1.96E-40	0.590700015	1	0.924	3.92E-37	1	Hexb
Jun	2.91E-40	0.693077694	0.991	0.812	5.82E-37	1	Jun
Ctss1	3.59E-40	0.549036644	1	0.953	7.18E-37	1	Ctss
Ctsl1	1.54E-38	0.585114178	1	0.867	3.09E-35	1	Ctsl
Csf1r1	1.40E-37	0.593206333	0.991	0.811	2.80E-34	1	Csf1r
Lag31	4.21E-37	0.604173922	0.972	0.71	8.41E-34	1	Lag3
Ppfia4	4.48E-37	0.545912881	0.945	0.666	8.96E-34	1	Ppfia4
Cd811	4.60E-37	0.530363731	1	0.91	9.21E-34	1	Cd81
Nfkbia	8.10E-37	0.569940722	0.995	0.816	1.62E-33	1	Nfkbia
Ldhb1	1.80E-36	0.573421089	1	0.695	3.60E-33	1	Ldhb
Zfp36	2.86E-36	0.568802934	0.991	0.844	5.71E-33	1	Zfp36
Lgmn1	3.52E-36	0.495220916	1	0.972	7.03E-33	1	Lgmn
Glul1	8.93E-36	0.530553097	0.972	0.736	1.79E-32	1	Glul
Itgam1	1.31E-35	0.659563855	0.908	0.655	2.61E-32	1	Itgam
Itm2b1	1.76E-35	0.461243018	1	0.978	3.52E-32	1	Itm2b
Kctd121	7.71E-35	0.531305726	0.931	0.548	1.54E-31	1	Kctd12
Rhob1	1.53E-33	0.487195901	0.995	0.751	3.06E-30	1	Rhob
Ecscr1	1.48E-32	0.510540789	0.894	0.532	2.95E-29	1	Ecscr
Ly861	4.95E-32	0.50067205	1	0.921	9.91E-29	1	Ly86
Junb1	5.49E-32	0.519094601	1	0.865	1.10E-28	1	Junb
Ltc4s1	7.24E-32	0.585262708	0.945	0.67	1.45E-28	1	Ltc4s
Hspa1b	8.42E-32	0.893838237	0.696	0.426	1.68E-28	1	Hspa1b
Hspa1a	6.56E-30	1.141472927	0.747	0.532	1.31E-26	1	Hspa1a
Gpr341	1.40E-29	0.474484348	0.977	0.734	2.79E-26	1	Gpr34
Gng101	1.88E-29	0.455362722	0.991	0.819	3.75E-26	1	Gng10
Nav31	4.72E-29	0.388452273	0.839	0.567	9.43E-26	1	Nav3
Nr4a1	7.26E-29	0.505761253	0.797	0.485	1.45E-25	1	Nr4a1
Ppp1r15a	7.34E-29	0.476977731	0.972	0.762	1.47E-25	1	Ppp1r15a
Nfkbid	1.09E-28	0.450118291	0.931	0.639	2.17E-25	1	Nfkbid
Ptgs11	2.00E-28	0.425436805	0.954	0.612	4.00E-25	1	Ptgs1
H2-DMb11	8.34E-28	0.360483838	0.862	0.514	1.67E-24	1	H2-DMb1
Grn1	9.86E-28	0.438538515	1	0.909	1.97E-24	1	Grn
Fcgr31	1.71E-27	0.473270303	1	0.898	3.42E-24	1	Fcgr3
C1qb1	3.25E-27	0.444515299	1	0.878	6.49E-24	1	C1qb
Serpine2	1.40E-26	0.442612394	0.991	0.856	2.80E-23	1	Serpine2
Ier3	1.60E-26	0.347745412	0.959	0.821	3.20E-23	1	Ier3
Gem1	2.97E-26	0.796778756	0.811	0.539	5.93E-23	1	Gem
Frmd4a	6.08E-26	0.321560457	0.811	0.493	1.22E-22	1	Frmd4a
F11r1	8.91E-26	0.438320784	0.926	0.748	1.78E-22	1	F11r
Rnase4	8.94E-26	0.458776453	0.926	0.605	1.79E-22	1	Rnase4
Usp21	2.77E-25	0.379014755	0.853	0.568	5.53E-22	1	Usp2
Hpgds1	8.02E-25	0.395027814	0.959	0.677	1.60E-21	1	Hpgds
Plxdc21	1.38E-24	0.423446576	0.839	0.528	2.75E-21	1	Plxdc2
Mpeg1	1.42E-24	0.452823515	0.922	0.616	2.85E-21	1	Mpeg1
Fos	1.57E-24	0.258242592	0.968	0.705	3.15E-21	1	Fos
Trem21	1.76E-24	0.412638151	1	0.876	3.52E-21	1	Trem2
Atf31	5.96E-24	0.39059168	0.991	0.723	1.19E-20	1	Atf3
Icam11	7.25E-24	0.57598303	0.894	0.598	1.45E-20	1	Icam1
Spint1	2.99E-23	0.365569853	0.862	0.637	5.98E-20	1	Spint1
Fcrls1	5.46E-22	0.408864278	1	0.922	1.09E-18	1	Fcrls
Gpr183	5.99E-22	0.470794043	0.756	0.48	1.20E-18	1	Gpr183
Ckb	6.81E-22	0.284298073	1	0.897	1.36E-18	1	Ckb
Itgb51	8.43E-22	0.374267074	0.783	0.539	1.69E-18	1	Itgb5
Tagap	1.03E-21	0.505071572	0.659	0.45	2.06E-18	1	Tagap
Apoe1	2.07E-21	0.408462195	1	0.896	4.14E-18	1	Apoe
Arl5b	2.88E-21	0.269684946	0.668	0.407	5.76E-18	1	Arl5b
Ccr5	5.76E-21	0.36386033	0.783	0.562	1.15E-17	1	Ccr5
Crybb11	1.25E-20	0.359311192	0.816	0.565	2.49E-17	1	Crybb1
Zfp36l2	2.43E-20	0.268016598	0.811	0.572	4.87E-17	1	Zfp36l2
Maf	2.86E-20	0.338449915	0.797	0.527	5.71E-17	1	Maf
Irf1	3.13E-20	0.418320395	0.802	0.534	6.27E-17	1	Irf1
Cd831	6.95E-20	0.392028084	0.995	0.783	1.39E-16	1	Cd83
Slc37a2	9.19E-20	0.406791666	0.691	0.503	1.84E-16	1	Slc37a2
Btg21	1.67E-19	0.337754428	0.977	0.73	3.33E-16	1	Btg2
Chka	9.52E-19	0.275667933	0.687	0.473	1.90E-15	1	Chka
Cd180	1.08E-18	0.34064369	0.747	0.478	2.15E-15	1	Cd180
Mertk1	1.44E-18	0.346663774	0.728	0.531	2.89E-15	1	Mertk
Mafb	2.14E-18	0.335534272	0.94	0.755	4.27E-15	1	Mafb
Fcgrt	8.58E-18	0.275196112	0.862	0.541	1.72E-14	1	Fcgrt
Fcgr2b1	1.14E-17	0.29011347	0.959	0.73	2.27E-14	1	Fcgr2b
Tmem176a1	3.14E-17	0.342433602	0.972	0.859	6.28E-14	1	Tmem176a
Slco2b1	3.58E-17	0.404766254	0.76	0.602	7.16E-14	1	Slco2b1
Zfand51	6.20E-17	0.301253119	0.926	0.702	1.24E-13	1	Zfand5
Fabp3	9.15E-17	0.368265274	0.544	0.41	1.83E-13	1	Fabp3
Epb41l2	3.89E-16	0.346370502	0.876	0.739	7.78E-13	1	Epb41l2
Ctsd	1.71E-15	0.339933951	1	0.934	3.42E-12	1	Ctsd
Slc2a5	1.80E-15	0.336593169	0.604	0.457	3.61E-12	1	Slc2a5
Batf	2.02E-15	0.290708914	0.571	0.348	4.05E-12	1	Batf
Hsph1	5.59E-15	0.303068156	0.553	0.376	1.12E-11	1	Hsph1
Lrp1	6.52E-15	0.264961593	0.756	0.579	1.30E-11	1	Lrp1
Ier2	7.24E-15	0.255815329	0.986	0.796	1.45E-11	1	Ier2
Tmem176b1	8.29E-15	0.290323979	0.995	0.849	1.66E-11	1	Tmem176b
Ier51	1.81E-14	0.250863772	0.991	0.802	3.62E-11	1	Ier5
Hspe1	5.36E-14	0.442546921	0.959	0.818	1.07E-10	1	Hspe1
Mylip1	5.95E-14	0.270327478	0.88	0.675	1.19E-10	1	Mylip
Itga6	2.19E-12	0.300757191	0.733	0.616	4.38E-09	1	Itga6
Sgk1	1.52E-11	0.338541482	0.714	0.569	3.04E-08	1	Sgk1
Hes1	7.77E-11	0.305063305	0.539	0.379	1.55E-07	1	Hes1
Fam46c	9.00E-11	0.287418712	0.719	0.597	1.80E-07	1	Fam46c
Liph	3.09E-09	0.256667217	0.553	0.434	6.18E-06	1	Liph
Abca91	1.56E-08	0.254320968	0.599	0.483	3.11E-05	1	Abca9
Fam212a	1.98E-08	0.274999256	0.59	0.5	3.97E-05	1	Fam212a
Arsb	2.92E-08	0.265121298	0.645	0.553	5.84E-05	1	Arsb
Csf1	6.45E-07	0.505427995	0.567	0.504	0.00128966	1	Csf1
Bag3	7.26E-07	0.413159253	0.562	0.51	0.001452685	1	Bag3
Hsp90aa1	1.59E-05	0.312990193	0.917	0.862	0.031715328	1	Hsp90aa1
Lgals3	5.54E-118	2.915357612	0.995	0.612	1.11E-114	2	Lgals3
Tpi1	8.08E-114	2.175362619	0.995	0.832	1.62E-110	2	Tpi1
Gapdh	2.00E-113	1.96760445	1	0.998	4.01E-110	2	Gapdh
Pkm	5.00E-113	1.982381764	1	0.872	1.00E-109	2	Pkm
Pgam1	4.54E-112	2.040590299	1	0.802	9.09E-109	2	Pgam1
Mif	8.28E-112	2.006972767	0.995	0.863	1.66E-108	2	Mif
Ldha	5.65E-108	1.840178713	1	0.909	1.13E-104	2	Ldha
Aldoa	7.11E-108	1.561569271	0.995	0.953	1.42E-104	2	Aldoa
Pgk1	6.26E-103	1.812668349	0.986	0.838	1.25E-99	2	Pgk1
Eno1	6.63E-102	1.618004024	0.995	0.944	1.33E-98	2	Eno1
Bnip3	4.09E-100	2.034158454	0.967	0.617	8.17E-97	2	Bnip3
Bsg	2.10E-97	1.693246556	0.981	0.869	4.20E-94	2	Bsg
Higd1a	1.42E-96	1.890016674	0.967	0.697	2.83E-93	2	Higd1a
Mt1	3.89E-91	2.779443925	0.972	0.802	7.77E-88	2	Mt1
Anxa2	5.71E-91	2.081614851	0.948	0.604	1.14E-87	2	Anxa2
Bnip3l	6.38E-80	1.264747786	0.962	0.789	1.28E-76	2	Bnip3l
Fam162a	5.68E-79	1.719298844	0.901	0.584	1.14E-75	2	Fam162a
Vdac1	8.82E-76	1.371367513	0.934	0.728	1.76E-72	2	Vdac1
Ero1l	2.58E-69	1.728408766	0.769	0.313	5.16E-66	2	Ero1l
Psmd8	2.07E-64	1.381609797	0.91	0.811	4.14E-61	2	Psmd8
Cdkn1a	6.85E-62	1.533210208	0.915	0.597	1.37E-58	2	Cdkn1a
P4hb	2.80E-61	1.605564894	0.906	0.708	5.60E-58	2	P4hb
Capg	9.31E-58	1.330993059	0.825	0.499	1.86E-54	2	Capg
Hmox1	1.64E-55	0.983262248	0.948	0.797	3.28E-52	2	Hmox1
Hilpda	2.77E-55	2.102169038	0.759	0.409	5.55E-52	2	Hilpda
Egln3	9.30E-55	1.322066983	0.75	0.418	1.86E-51	2	Egln3
Psmb6	8.09E-53	1.259131466	0.91	0.778	1.62E-49	2	Psmb6
Cstb	1.51E-52	1.249380884	0.929	0.79	3.03E-49	2	Cstb
Lpl	8.31E-51	1.573620545	0.849	0.704	1.66E-47	2	Lpl
Eif4ebp1	5.26E-50	1.19799805	0.844	0.661	1.05E-46	2	Eif4ebp1
Cd68	5.60E-48	0.894353343	0.948	0.91	1.12E-44	2	Cd68
Sap30	1.02E-47	1.438713998	0.797	0.556	2.03E-44	2	Sap30
Ctsb	6.60E-47	0.815462693	0.991	0.917	1.32E-43	2	Ctsb
Neurl2	1.28E-44	1.131141932	0.698	0.427	2.57E-41	2	Neurl2
Slc16a3	3.87E-43	1.207393376	0.825	0.659	7.75E-40	2	Slc16a3
Igf1	1.34E-41	1.301838368	0.788	0.63	2.69E-38	2	Igf1
Galk1	4.04E-41	1.149994582	0.745	0.517	8.07E-38	2	Galk1
Anxa5	2.44E-40	1.040861173	0.811	0.574	4.89E-37	2	Anxa5
Cd63	6.72E-40	0.790149629	0.967	0.946	1.34E-36	2	Cd63
Pmp22	1.27E-38	1.428940067	0.792	0.665	2.55E-35	2	Pmp22
Ctsa	8.61E-38	0.744389208	0.958	0.875	1.72E-34	2	Ctsa
H2-Ab1	1.59E-36	0.721103651	0.807	0.556	3.19E-33	2	H2-Ab1
Mt2	1.55E-34	2.029994427	0.684	0.52	3.09E-31	2	Mt2
Vim	2.19E-34	0.529371913	0.807	0.559	4.38E-31	2	Vim
Card19	6.53E-33	1.132912699	0.802	0.696	1.31E-29	2	Card19
Grhpr	1.74E-32	0.9874065	0.613	0.37	3.48E-29	2	Grhpr
Anxa4	2.55E-32	1.076156482	0.665	0.457	5.11E-29	2	Anxa4
Pgm2	5.56E-32	1.003810649	0.67	0.455	1.11E-28	2	Pgm2
Pgp	8.78E-32	1.185923992	0.731	0.597	1.76E-28	2	Pgp
Prelid2	1.02E-30	0.99358309	0.656	0.49	2.03E-27	2	Prelid2
Plin2	2.16E-30	0.737813639	0.802	0.631	4.33E-27	2	Plin2
Mgarp	4.88E-29	0.405554687	0.665	0.464	9.76E-26	2	Mgarp
Fabp5	6.10E-29	1.686699471	0.745	0.655	1.22E-25	2	Fabp5
Selenbp1	1.64E-28	1.088332113	0.632	0.421	3.28E-25	2	Selenbp1
Fth1	1.11E-27	0.730257568	0.991	0.998	2.22E-24	2	Fth1
Tmsb10	2.23E-27	0.416126999	0.943	0.75	4.45E-24	2	Tmsb10
Cd72	1.55E-26	0.920559307	0.816	0.733	3.09E-23	2	Cd72
Impdh1	1.11E-25	0.739911888	0.58	0.395	2.23E-22	2	Impdh1
P4ha2	1.70E-25	1.090079056	0.623	0.49	3.40E-22	2	P4ha2
Cd9	1.71E-25	0.660122261	0.943	0.874	3.43E-22	2	Cd9
Lgals1	8.02E-24	1.044776234	0.642	0.477	1.60E-20	2	Lgals1
Ankrd37	8.14E-24	2.051607448	0.618	0.494	1.63E-20	2	Ankrd37
Gsn	1.04E-23	0.505238678	0.472	0.292	2.09E-20	2	Gsn
Rhoc	1.46E-22	0.829764926	0.717	0.641	2.92E-19	2	Rhoc
Scd2	2.97E-22	0.859079586	0.571	0.437	5.94E-19	2	Scd2
Lilr4b	8.24E-20	0.999240667	0.637	0.536	1.65E-16	2	Lilr4b
Lilrb4a	3.69E-19	0.889357273	0.618	0.497	7.38E-16	2	Lilrb4a
Nes	1.64E-18	0.61621375	0.514	0.36	3.28E-15	2	Nes
Id21	3.05E-18	0.732658736	0.778	0.652	6.11E-15	2	Id2
Prdx5	3.15E-18	0.456083221	0.882	0.857	6.30E-15	2	Prdx5
Gla	3.50E-17	0.857454268	0.585	0.485	6.99E-14	2	Gla
Cst7	1.07E-16	0.76948069	0.726	0.716	2.13E-13	2	Cst7
Sdf2l1	3.09E-16	1.249286905	0.712	0.718	6.17E-13	2	Sdf2l1
Slc2a1	5.30E-16	0.626518523	0.585	0.453	1.06E-12	2	Slc2a1
Hmga1	1.09E-15	0.741571176	0.708	0.622	2.19E-12	2	Hmga1
Slc2a3	2.29E-15	0.570557276	0.401	0.268	4.59E-12	2	Slc2a3
Syngr1	3.22E-15	0.63760936	0.788	0.802	6.44E-12	2	Syngr1
Ftl1	1.31E-14	0.297350591	0.995	0.997	2.62E-11	2	Ftl1
Basp11	7.79E-14	0.536093323	0.83	0.824	1.56E-10	2	Basp1
Glrx	9.36E-14	0.794943297	0.656	0.632	1.87E-10	2	Glrx
Pim3	1.16E-12	1.013570254	0.533	0.438	2.32E-09	2	Pim3
Pafah1b3	1.43E-11	0.478652601	0.608	0.537	2.86E-08	2	Pafah1b3
Got1	1.46E-11	0.549894465	0.585	0.505	2.91E-08	2	Got1
Ctsd1	1.97E-11	0.355208548	0.976	0.937	3.93E-08	2	Ctsd
Adssl1	1.08E-10	0.753871618	0.524	0.463	2.17E-07	2	Adssl1
